url,mname,id,name,transactiontype,bonusfixed,amount,minwithdraw,maxwithdraw,rollover,ratio,balance,claimconfig,claimcondition,bonus,bonusrandom,reset,mintopup,maxtopup,referlink,perceived_value,is_new
https://ufc9aus.com,UFC9,,COMMISSION,COMMISSION,,1.0,,,,,,,,,,,,,,125.9845446540568,1
https://ufo9.asia,UFO9,,COMMISSION,COMMISSION,,59.61,,599.0,,,,,,,,,,,,125.18974291477518,1
https://yayawin.com,YAYAWIN,,COMMISSION,COMMISSION,,1.8,,888.0,,,,,,,,,,,,106.72115166116716,0
https://auspay96.com,AUSPAY96,,COMMISSION,COMMISSION,,1.25,,300.0,,,,,,,,,,,,88.13567058946201,0
https://ijoker88au.com,IJOKER88,212141.0,<b>FREE SHARE EVENT<b>,,1.0,1.0,0.0,288.0,0.0,0.0,,"{""customBonus"":""sharebonus"",""creditLessThan"":1,""startDate"":""2024-09-10"",""displayDescriptionOnly"":""1"",""mobileAppOnly"":""0"",""changeGameId"":1,""walletId"":1}",CUSTOM,0.0,,,,,,86.67105251051989,0
https://tab9au.com,TAB9AU,7843.0,<b>New Register Free #C</b>,,399.0,399.0,400.0,50.0,0.0,1.0,,"{""startDate"":""2023-05-04"",""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""withdrawLessThan"":1}",FREE,0.0,,DAILY,,,,85.97480653166339,0
https://pesi13.com,PESI13,812639.0,<b>Website Design Upgrade BONUS</b> <b>#C</b>,,168.0,168.0,168.0,50.0,0.0,1.0,,"{""displayAngpaoText"":""1"",""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""walletId"":1,""changeGameId"":1}",FREE,0.0,,,,,,81.99929542429888,0
https://aus2u.com,Aus2u,845018.0,NEW MEMBER FREE $18,,18.0,18.0,5.0,30.0,0.0,0.28,,"{""creditLessThan"":1,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""0""}",FREE,0.0,,,,,,62.212355847337626,0
https://pesi13.com,PESI13,812700.0,<b>DAILY FREE SPIN</b> <b>#C</b>,,333.0,333.0,350.0,20.0,0.0,1.05,,"{""registerDate"":""2024-02-21"",""creditLessThan"":1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1}",FREE,0.0,,DAILY,,,,62.10521971245747,0
https://amg33.com,AMG33,742478.0,<b>Earn Coins Bonus</b>,,100.33,100.33,101.33,20.0,0.0,1.01,,"{""creditLessThan"":1,""walletId"":1,""changeGameId"":1,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""mobileAppOnly"":""1""}",FREE,0.0,,DAILY,,,,60.7846009530904,0
