url,mname,id,name,transactiontype,bonusfixed,amount,minwithdraw,maxwithdraw,rollover,balance,claimconfig,claimcondition,bonus,bonusrandom,reset,mintopup,maxtopup,referlink,perceived_value,is_new,is_last
https://aus789.com,Aus789 PayID Casino Australia,175114,<b>APP Download Bonus $16</b>,,16.00,16.0,500,20,0.00,,"{""startDate"":""2023-09-17"",""creditLessThan"":0.2,""displayDescriptionOnly"":""0"",""mobileAppOnly"":""1"",""displayAngpaoText"":""0"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,,,,,0.7407651230185881,1,1
https://ausbet88.com,AUSBET88,52213,"<b style=""color:#FF00FB;"">SHARE & INVITE</b>",,10,10.0,200,20,0.00,,"{""customBonus"":""sharebonus"",""creditLessThan"":1,""walletId"":1,""changeGameId"":1,""startDate"":""2023-03-22"",""displayDescriptionOnly"":""1"",""mobileAppOnly"":""0""}",CUSTOM,0.00,,,,,,1.2547964592173841,1,1
https://betus10.co,BETUS10,218233,<b>Daily Free Credit</b>,,30.00,30.0,700,10,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""ignoreTrxAmount"":1,""changeGameId"":1,""walletId"":1}",FREE,0.00,,DAILY,,,,0.8757891750140593,1,1
https://betus10.co,BETUS10,218234,<b>Download App Bonus</b>,,20.00,20.0,500,10,0.00,,"{""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""mobileAppOnly"":""1"",""ignoreTrxAmount"":1,""changeGameId"":1,""walletId"":1}",FREE,0.00,,DAILY,,,,0.7824908919849999,0,1
https://betus10.co,BETUS10,218243,<b>Referred Free</b>,,6,6.0,300,50,0.00,,"{""customBonus"":""sharebonus"",""creditLessThan"":1,""startDate"":""2023-10-25"",""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""changeGameId"":1,""walletId"":1}",CUSTOM,0.00,,,,,,0.49874445335064066,1,1
https://bigpay77.net,BigPay77,750465,Apps Daily Free,,17.00,17.0,500,10,0.00,,"{""creditLessThan"":1,""displayDescriptionOnly"":""1"",""mobileAppOnly"":""1"",""displayAngpaoText"":""1"",""fixRT"":1,""walletId"":1,""changeGameId"":1}",FREE,0.00,,DAILY,,,,0.6318727500544004,1,1
https://avg88.com,AVG88 (AUD),166490,DAILY APP FREE CREDIT,,5.00,5.0,388,10,0.00,,"{""mobileAppOnly"":""1"",""changeGameId"":1,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""creditLessThan"":0.1,""walletId"":1}",FREE,0.00,,DAILY,,,,0.17357872757482712,1,1
https://avg88.com,AVG88 (AUD),142140,SHARE BONUS,,36,36.0,720,20,0.00,,"{""customBonus"":""sharebonus"",""creditLessThan"":0.5,""minCount"":1,""displayDescriptionOnly"":""1"",""startDate"":""2023-09-13"",""displayAngpaoText"":""1"",""walletId"":1}",CUSTOM,0.00,,DAILY,,,,1.3642146267088628,1,1
https://betworld96au.com,Betworld96 Australia Online Casino,209850,Install Betworld96 To Claim Free AUD 18.96,,18.96,18.96,379.2,20,0.00,,"{""mobileAppOnly"":""1"",""walletId"":1,""changeGameId"":1,""displayAngpaoText"":""0"",""displayDescriptionOnly"":""1""}",FREE,0.00,,,,,,1.3085425077050103,1,1
https://betman9.com,BETMAN9,823856,BETMAN 9 x BNG,,9.00,9.0,199,20,0.00,,"{""mobileAppOnly"":""1"",""displayDescriptionOnly"":""1"",""displayAngpaoText"":""0"",""walletId"":1,""changeGameId"":1,""creditLessThan"":0.1}",FREE,0.00,,,,,,1.0992886789080416,1,1
https://bondi333.com,BONDI333,807206,<b>Daily Free </b>,,4.00,4.0,300,10,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1""}",FREE,0.00,,DAILY,,,,0.17865062423564385,1,1
https://bondi333.com,BONDI333,166311,<b>Daily Ultra Free </b>,,5.00,5.0,300,20,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1""}",FREE,0.00,,DAILY,,,,0.30396498381466175,1,1
https://boyabet9.com,BoyaBet9,463774,<B>SPECIAL DAILY FREE<B>,,6.99,6.99,270,20,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""mobileAppOnly"":""0"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,DAILY,,,,0.5384618213435755,1,1
https://cyberbet77.com,CYBERBET77,127033,<B>Free 365 Days</B>,,2.00,2.0,100,20,0.00,,"{""creditLessThan"":1,""walletId"":1,""changeGameId"":1,""displayDescriptionOnly"":""1"",""registerDate"":""2023-10-21"",""displayAngpaoText"":""1""}",FREE,0.00,,DAILY,,,,0.36187915196815357,1,1
https://cyberbet77.com,CYBERBET77,102874,<b>Referral Bonus</b>,,5,5.0,20,50,0.00,,"{""customBonus"":""downlinedeposit"",""creditLessThan"":1,""startDate"":""2023-07-17"",""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1""}",CUSTOM,0.00,,,20.00,,,11.58811245149604,1,1
https://candymommy.co,CANDYMOMMY,28246,"<b style=""color:black;"">NEW REGISTER FREE</b>",,200.00,200.0,4000,20,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""registerDate"":""2022-05-06"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,,,,,1.5168728522373116,1,1
https://candymommy.co,CANDYMOMMY,28247,"<b style=""color:black;"">HOURLY BONUS</b>",,15.00,15.0,200,5,0.00,,"{""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""walletId"":1,""changeGameId"":1,""creditLessThan"":0.1,""resetHour"":2}",FREE,0.00,,HOURLY,,,,1.2588993529486476,1,1
https://candymommy.co,CANDYMOMMY,239408,<b>Return Back Bonus,,10.00,10.0,500,10,0.00,,"{""displayDescriptionOnly"":""1""}",FREE,0.00,,MONTHLY,,,,0.31438318259269477,1,1
https://cashnet99.com,CASHNET,9874,Daily Free Credit,,3.00,3.0,50,30,0.00,,"{""displayAngpaoText"":""1"",""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""changeGameId"":1,""walletId"":1}",FREE,0.00,,DAILY,,,,1.648314296546503,0,1
https://cashnet99.com,CASHNET,262568,<b> Download App Gift FreeSpin<b>,,0.10,0.1,100,10,0.00,,"{""freeRoundAPI"":{""site"":""BNG2"",""params"":{""campaign"":""BNG free spin"",""total_rounds"":30,""game_id"":""496"",""bonus_type"":""FIXED_FREEBET"",""total_bet"":0.2,""round_bet"":0.2}},""displayDescriptionOnly"":""1"",""creditLessThan"":""0.01"",""displayAngpaoText"":""0"",""startDate"":""2026-03-23"",""walletId"":1,""changeGameId"":1,""mobileAppOnly"":""1""}",FREE,0.00,,,,,,0.006202764220146792,0,1
https://cashnet99.com,CASHNET,13386,<b>Hours Free Spin<b>,,0.10,0.1,50,30,0.00,,"{""freeRoundAPI"":{""site"":""BNG2"",""params"":{""campaign"":""BNG free spin"",""total_rounds"":5,""game_id"":""377"",""bonus_type"":""FIXED_FREEBET"",""total_bet"":0.2,""round_bet"":0.2}},""displayDescriptionOnly"":""1"",""creditLessThan"":""0.01"",""displayAngpaoText"":""0"",""walletId"":1,""changeGameId"":1,""fixRT"":1}",FREE,0.00,,HOURLY,,,,0.021127165223361458,0,1
https://cashnet99.com,CASHNET,266826,<b>APP Daily Free Spin<b>,,0.10,0.1,100,30,0.00,,"{""freeRoundAPI"":{""site"":""BNG2"",""params"":{""campaign"":""BNG free spin"",""total_rounds"":20,""game_id"":""377"",""bonus_type"":""FIXED_FREEBET"",""total_bet"":0.2,""round_bet"":0.2}},""displayDescriptionOnly"":""1"",""creditLessThan"":""0.01"",""displayAngpaoText"":""0"",""walletId"":1,""changeGameId"":1,""fixRT"":1,""mobileAppOnly"":""1""}",FREE,0.00,,DAILY,,,,0.008882878750398795,0,1
https://clubimperioaus.com,Club Imperio Aus,60807,<b>365Days FreeBonus</b>,,1.00,1.0,138,20,0.00,,"{""creditLessThan"":0.5,""mobileAppOnly"":""0"",""displayDescriptionOnly"":""1""}",FREE,0.00,,DAILY,,,,0.09845439717382848,1,1
https://diamondaud.com,DIAMONDAUD,122637,<b>Daily Free </b>,,10.00,10.0,600,10,0.00,,"{""creditLessThan"":0.1,""walletId"":1,""changeGameId"":1,""displayDescriptionOnly"":""1""}",FREE,0.00,,DAILY,,,,0.2503126214987163,1,1
https://diamondaud.com,DIAMONDAUD,830114,<b>FIFA FREE ⭐,,30.00,30.0,1000,10,0.00,,"{""displayAngpaoText"":""0"",""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""mustJoinTelegramChannel"":""diamondaud"",""changeGameId"":1,""walletId"":1}",FREE,0.00,,,,,,0.5607536677966316,1,1
https://dd8au.com,DD8AU,469162,DAILY FREE,,500.00,500.0,10000,10,0.00,,"{""creditLessThan"":0.1, ""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,DAILY,,,,1.2595888978752612,1,1
https://cyberpunk369.com,CYBERPUNK369,26827,<b>AEP ALL SLOT </b>,,5.00,5.0,100,0.05,0.00,,"{""displayAngpaoText"":""1"",""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""registerDate"":""2024-01-01"",""mobileAppOnly"":""0"",""mustJoinTelegramChannel"":""auspokiesentertaintment""}",FREE,0.00,,,,,,0.019232610012774754,1,1
https://cyberpunk369.com,CYBERPUNK369,267657,<b> CyberMass Free </b>,,88.00,88.0,600,10,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""displayAngpaoText"":""1""}",FREE,0.00,,WEEKLY,,,,4.364110201419518,1,1
https://cyberpunk369.com,CYBERPUNK369,16437,<b>Check-in Bonus MONDAY</b>,,10.00,10.0,100,9,0.00,,"{""claimTime"":""N=1"",""displayDescriptionOnly"":""1"",""displayAngpaoText"":""0"",""creditLessThan"":0.1,""walletId"":1,""changeGameId"":1}",FREE,0.00,,WEEKLY,,,,2.2571337192319896,1,1
https://cyberpunk369.com,CYBERPUNK369,266828,<b>Download Apps Free</b>,,20.00,20.0,300,10,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""mobileAppOnly"":""1""}",FREE,0.00,,DAILY,,,,1.4818021759296418,1,1
https://ezaud.com,EzAud (AUD),738530,FREE CREDIT 365 DAYS,,15.00,15.0,250,15,0.00,,"{""walletId"":1,""changeGameId"":1,""displayDescriptionOnly"":""1"",""creditLessThan"":1}",FREE,0.00,,DAILY,,,,1.4738702003434807,1,1
https://ezaud.com,EzAud (AUD),185876,REFER & EARN,,10,10.0,200,20,0.00,,"{""walletId"":1,""changeGameId"":1,""customBonus"":""sharebonus"",""creditLessThan"":0.1,""startDate"":""2024-12-01"",""displayDescriptionOnly"":""1""}",CUSTOM,0.00,,,,,,1.2547964592173841,1,1
https://eebet9.com,EEBET9,79616,"<b style=""color:#b3e9ff;"">SHARE & INVITE</b>",,5,5.0,100,20,0.00,,"{""customBonus"":""sharebonus"",""creditLessThan"":0.1,""startDate"":""2023-03-22"",""displayDescriptionOnly"":""1"",""maxCount"":1,""mobileAppOnly"":""1"",""walletId"":1,""changeGameId"":1}",CUSTOM,0.00,,,,,,1.200121248138004,1,1
https://epicpokies.com,EPICPOKIES,156193,<b>FREE 365 BONUS<b>,,400.00,400.0,48000,116,0.00,,"{""creditLessThan"":1,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""changeGameId"":1,""walletId"":1}",FREE,0.00,,DAILY,,,,0.2630428297261015,1,1
https://epicpokies.com,EPICPOKIES,761421,<b> DAILY SOCIAL FREE<b>,,100.00,100.0,10000,108,0.00,,"{""displayAngpaoText"":""1"",""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""registerDate"":""2024-01-01"",""mobileAppOnly"":""0"",""mustJoinTelegramChannel"":""epicpokiesofficial"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,DAILY,,,,0.299825272934518,0,1
https://enjoy2aus.com,Enjoy2AUS,49995,<b>Daily Free Chip</b>,,0.00,1.0,150,20,0.00,,"{""displayAngpaoText"":""1"",""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""mobileAppOnly"":""0""}",FREE,0.00,1,DAILY,,,,0.08870945305239049,1,1
https://gday123.com,Gday123 Australia,797058,"GDAY, FREE’S YOURS!",,7.00,7.0,350,30,0.00,,"{""creditLessThan"":0.5,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""mobileAppOnly"":""0"",""walletId"":1,""changeGameId"":1,""offUsernames"":[""392576581"",""396299827"",""A016A2116""]}",FREE,0.00,,,,,,0.43991635215688646,0,1
https://g9aus.com,Gwin9,,Rollover Rebate,REBATE,,0.12,,999,,,,,,,,,,,7.107913914228184,0,1
